Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1,RP2,BP2,BP3,RP3,RB4,BB4,RB5,BB5,RP4,BP4,BP5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5,SB,VOD
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Team Liquid,Cloud9,3 - 2,1,11.2,Lulu,Pantheon,Senna,Renekton,Olaf,Camille,Udyr,Twisted Fate,Kai'Sa,Samira,Azir,Taliyah,Rell,Alistar,Gragas,Jayce,Leona,Nautilus,Gangplank,Irelia,Jungle,Bot,Mid,Support,Top,Mid,Bot,Jungle,Support,Top,SB,https,//youtu.be/zCsGPf8mwpc?t=116
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Team Liquid,Cloud9,2 - 2,2,11.2,Lulu,Pantheon,Senna,Renekton,Olaf,Camille,Taliyah,Kai'Sa,Twisted Fate,Samira,Rell,Udyr,Orianna,Alistar,Azir,Nautilus,Leona,Gnar,Syndra,Irelia,Jungle,Bot,Support,Top,Mid,Bot,Mid,Jungle,Support,Top,SB,https,//youtu.be/M5anNLjpVfQ?t=24
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Cloud9,Team Liquid,1 - 2,1,11.2,Renekton,Pantheon,Camille,Lulu,Udyr,Seraphine,Olaf,Thresh,Graves,Senna,Tahm Kench,Aphelios,Twisted Fate,Azir,Karma,Orianna,Syndra,Zoe,Malphite,Gangplank,Jungle,Bot,Support,Mid,Top,Support,Jungle,Bot,Mid,Top,SB,https,//youtu.be/IuDEPWhd2P4?t=24
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Cloud9,Team Liquid,0 - 2,2,11.2,Renekton,Pantheon,Camille,Lulu,Thresh,Twisted Fate,Olaf,Udyr,Kai'Sa,Senna,Tahm Kench,Azir,Orianna,Irelia,Syndra,Jayce,Gnar,Karma,LeBlanc,Blitzcrank,Jungle,Bot,Support,Top,Mid,Jungle,Bot,Mid,Top,Support,SB,https,//youtu.be/zgLzC6mx_Do?t=25
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Team Liquid,Cloud9,1 - 0,1,11.2,Lulu,Pantheon,Lillia,Renekton,Olaf,Rell,Taliyah,Camille,Twisted Fate,Jax,Galio,Udyr,Samira,Senna,Thresh,Alistar,Kai'Sa,Xayah,Leona,Sett,Jungle,Top,Mid,Bot,Support,Top,Mid,Jungle,Bot,Support,SB,https,//youtu.be/hFjhYMr3xxI?t=984
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Evil Geniuses.NA,Team Liquid,0 - 3,2,11.2,Thresh,Pantheon,Camille,Renekton,Olaf,Taliyah,Udyr,Kai'Sa,Lillia,Miss Fortune,Seraphine,Rell,Jayce,Yone,Twisted Fate,Gangplank,Gnar,Aatrox,Ryze,Orianna,Jungle,Bot,Support,Top,Mid,Bot,Jungle,Support,Top,Mid,SB,https,//youtu.be/QGYAv6KahHU?t=81
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Evil Geniuses.NA,Team Liquid,0 - 2,2,11.2,Samira,Pantheon,Camille,Renekton,Gangplank,Kai'Sa,Olaf,Udyr,Thresh,Gnar,Alistar,Jayce,Twisted Fate,Aphelios,Syndra,Orianna,Azir,Jhin,Ekko,Kalista,Jungle,Top,Support,Bot,Mid,Jungle,Support,Top,Mid,Bot,SB,https,//youtu.be/un96w_IWzHM?t=106
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,Evil Geniuses.NA,Team Liquid,0 - 1,2,11.2,Samira,Pantheon,Camille,Renekton,Gangplank,Kai'Sa,Olaf,Thresh,Udyr,Gnar,Seraphine,Jayce,Twisted Fate,Kalista,Ashe,Aphelios,Miss Fortune,Senna,Syndra,Orianna,Jungle,Top,Support,Bot,Mid,Support,Jungle,Top,Bot,Mid,SB,https,//youtu.be/h-Z4eVIhMvk?t=748
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,100 Thieves,Cloud9,2 - 3,2,11.2,Yone,Pantheon,Kai'Sa,Olaf,Lucian,Renekton,Taliyah,Camille,Twisted Fate,Jax,Rell,Udyr,Sett,Senna,Tristana,Alistar,Miss Fortune,Ryze,Vayne,Galio,Jungle,Top,Support,Mid,Bot,Top,Mid,Jungle,Bot,Support,SB,https,//youtu.be/EhN1ioHj1Mg?t=28
LCS/2021 Season/Lock In/Picks and Bans/Individual Games,100 Thieves,Cloud9,2 - 2,2,11.2,Yone,Pantheon,Kai'Sa,Olaf,Lucian,Renekton,Taliyah,Camille,Twisted Fate,Sett,Jax,Lillia,Rell,Senna,Leona,Alistar,Miss Fortune,Xayah,Galio,Bard,Jungle,Mid,Top,Bot,Support,Top,Mid,Jungle,Bot,Support,SB,https,//youtu.be/EDOx0uR5sAs?t=18
